StudentID,Q0001,Q0002,Q0003,Q0004,Q0005,Q0006
c10001,1,1,1,1,1,1,
c10002,1,1,1,1,1,1,
c10003,1,1,0,0,0,1,
c10004,1,1,0,1,1,1,
c10005,1,0,0,1,0,1,
c10006,1,1,0,1,1,1,
c10007,1,0,0,1,1,1,
c10008,1,1,0,0,0,0,
c10009,1,0,1,1,1,0,
c10010,1,1,1,1,0,0,
c10011,1,0,1,1,1,0,
c10012,1,1,1,0,0,0,
c10013,0,0,1,1,1,0,
c10014,0,1,1,1,0,0,
c10015,1,1,1,1,1,1,
c10016,1,0,1,0,0,1,
c10017,0,1,0,0,0,1,
c10018,0,0,0,1,1,1,
c10019,1,0,1,1,0,0,
c10020,1,0,1,1,1,0,
c10021,0,1,0,0,0,0,
c10022,1,0,0,0,0,0,
c10023,1,0,1,1,1,0,
c10024,1,1,1,1,0,1,
c10025,0,1,0,1,1,1,
